,micro_f1,macro_f1,micro_precision,micro_recall
sbert_lgbm_ovr,0.611891300383002,0.41395392826396105,0.5888030888030888,0.6368640850417616
sbert_mlp_dense,0.5889816896884035,0.4452286085616449,0.5104398663697105,0.6960895975702354
sbert_classifier_chains,0.579074212582066,0.42187462010451426,0.5150036954915004,0.6613515565679575
